2022-06-26 00:00:08 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2022-06-26 00:00:09 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2022-06-26 00:00:11 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=49c98ee8-9118-320a-8ade-ee98dd5972ce
2022-06-26 00:00:11 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2022-06-26 00:00:11 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2022-06-26 00:00:11 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-06-26 00:00:11 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2022-06-26 00:00:11 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-06-26 00:00:11 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2020 ms
2022-06-26 00:00:12 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-06-26 00:00:17 [main] WARN  org.eclipse.jgit.util.FS - null
2022-06-26 00:00:22 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4a890fdd, org.springframework.security.web.context.SecurityContextPersistenceFilter@16fc5622, org.springframework.security.web.header.HeaderWriterFilter@1da5c19d, org.springframework.security.web.csrf.CsrfFilter@13ee97af, org.springframework.security.web.authentication.logout.LogoutFilter@62158991, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@75e4fe3c, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@1827fc4e, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@56299b0e, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@114b203, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6906be0f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@74830d73, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3ca278bc, org.springframework.security.web.session.SessionManagementFilter@e706aa, org.springframework.security.web.access.ExceptionTranslationFilter@3a709cc7, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@18cbc3c2]
2022-06-26 00:00:23 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2022-06-26 00:00:23 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2022-06-26 00:00:23 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2022-06-26 00:00:23 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 15.274 seconds (JVM running for 17.032)
2022-06-26 00:00:23 [RMI TCP Connection(1)-172.21.208.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-26 00:00:23 [RMI TCP Connection(1)-172.21.208.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-06-26 00:00:23 [RMI TCP Connection(1)-172.21.208.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 15 ms
2022-06-26 00:00:26 [RMI TCP Connection(2)-172.21.208.1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/Amine/AppData/Local/Temp/config-repo-16448835663704244901/application.yml
2022-06-26 00:01:01 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/Amine/AppData/Local/Temp/config-repo-16448835663704244901/twitter-to-kafka-service.yml
2022-06-26 00:01:01 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/Amine/AppData/Local/Temp/config-repo-16448835663704244901/application.yml
2022-06-26 00:01:37 [Thread-3] WARN  o.s.c.c.s.e.MultipleJGitEnvironmentRepository - Failed to delete temporary directory on exit: java.nio.file.AccessDeniedException: C:\Users\Amine\AppData\Local\Temp\config-repo-16448835663704244901\.git\objects\pack\pack-d59d58c3067c9aea05fddb9cc15d4ebf4bcae0af.idx
2022-06-26 00:01:37 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
